Key,Mode,Component,Palette,PaletteLbl,Element,HexCode,RGB,UsageNotes,Font,SizePts
55,Light,Chart,Chart Elements,,Dividers,#DEDEDE,"(222, 222, 222)",,,
56,Light,Chart,Chart Elements,,Gridlines,#DEDEDE,"(222, 222, 222)",,,
57,Light,Chart,Chart Elements,,Reference Lines,#003A70,"(0, 58, 112)",,,
58,Light,Chart,Data Highlight,Neutral,Neutral Bar/Line,#B7B9BB,"(183, 185, 187)",,,
59,Light,Chart,Data Highlight,Highlight,Highlighted Bar/Line,#003A70,"(0, 58, 112)",,,
60,Light,Chart,Data Highlight,Best,Bar/Line is Best,#077890,"(7, 120, 144)",,,
61,Light,Chart,Data Highlight,Worst,Bar/Line is Worst,#B33A12,"(179, 58, 18)",,,
62,Light,Chart,Sequence to Bad: Worst,The Worst,Step 1,#B33A12,"(179, 58, 18)",,,
63,Light,Chart,Sequence to Bad: 2 Steps, 2 Steps,Step 1,#DC8F76,"(220, 143, 118)",,,
64,Light,Chart,Sequence to Bad: 2 Steps, 2 Steps,Step 2,#B33A12,"(179, 58, 18)",,,
65,Light,Chart,Sequence to Bad: 3 Steps, 3 Steps,Step 1,#E2A996,"(226, 169, 150)",,,
66,Light,Chart,Sequence to Bad: 3 Steps, 3 Steps,Step 2,#D37355,"(211, 115, 85)",,,
67,Light,Chart,Sequence to Bad: 3 Steps, 3 Steps,Step 3,#B33A12,"(179, 58, 18)",,,
68,Light,Chart,Sequence to Bad: 4 Steps, 4 Steps,Step 1,#E3B6A8,"(227, 182, 168)",,,
69,Light,Chart,Sequence to Bad: 4 Steps, 4 Steps,Step 2,#DC8F76,"(220, 143, 118)",,,
70,Light,Chart,Sequence to Bad: 4 Steps, 4 Steps,Step 3,#CD6544,"(205, 101, 68)",,,
71,Light,Chart,Sequence to Bad: 4 Steps, 4 Steps,Step 4,#B33A12,"(179, 58, 18)",,,
72,Light,Chart,Sequence to Bad: 5 Steps, 5 Steps,Step 1,#E4BEB2,"(228, 190, 178)",,,
73,Light,Chart,Sequence to Bad: 5 Steps, 5 Steps,Step 2,#E09F89,"(224, 159, 137)",,,
